,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.895,23,finetuning,200,0.5,
0,1.0,0.64,9,finetuning,10,1.0,
0,1.0,0.98,12,finetuning,200,0.125,
0,1.0,0.94,3,finetuning,200,0.125,
0,1.0,0.95,22,finetuning,100,0.25,
0,1.0,0.835,30,multitask,50,,0.03502040816326531
0,1.0,0.565,38,finetuning,100,0.25,
0,1.0,0.425,42,finetuning,10,0.5,
0,1.0,0.9,24,finetuning,500,0.25,
0,1.0,0.575,2,finetuning,50,2.0,
0,1.0,0.87,40,multitask,1000,,0.09275510204081633
0,1.0,0.59,24,finetuning,100,2.0,
0,1.0,0.515,34,finetuning,20,0.25,
0,1.0,0.97,12,finetuning,100,0.5,
0,1.0,0.83,46,finetuning,50,0.5,
0,1.0,0.5,10,multitask,10,,0.013224489795918367
0,1.0,0.505,29,finetuning,10,0.5,
0,1.0,0.72,41,finetuning,100,2.0,
0,1.0,0.915,1,finetuning,200,1.0,
0,1.0,0.835,46,finetuning,200,0.5,
0,1.0,0.715,17,multitask,100,,0.054122448979591835
0,1.0,0.87,26,multitask,200,,0.039877551020408165
0,1.0,0.48,27,singletask,20,,
0,1.0,0.47,6,finetuning,10,2.0,
0,1.0,0.825,5,multitask,1000,,0.152
0,1.0,0.67,15,finetuning,200,2.0,
0,1.0,0.975,7,finetuning,1000,0.5,
0,1.0,0.92,10,finetuning,500,1.0,
0,0.998,0.885,4,finetuning,500,2.0,
0,1.0,0.76,21,finetuning,20,0.5,
0,1.0,0.5,41,finetuning,20,0.125,
0,1.0,0.83,33,singletask,500,,
0,1.0,0.775,44,singletask,1000,,
0,1.0,0.585,46,multitask,100,,0.058
0,1.0,0.545,1,finetuning,20,1.0,
0,1.0,0.515,35,finetuning,20,0.125,
0,1.0,0.885,45,finetuning,100,0.125,
0,1.0,0.79,37,finetuning,1000,0.25,
0,1.0,0.945,16,finetuning,1000,0.5,
0,1.0,0.72,35,multitask,500,,0.09095918367346939
0,1.0,0.815,45,finetuning,100,1.0,
0,1.0,0.735,2,finetuning,100,0.5,
0,1.0,0.89,48,finetuning,1000,1.0,
0,1.0,0.865,34,finetuning,1000,2.0,
0,1.0,0.84,20,finetuning,200,0.25,
0,1.0,0.93,11,finetuning,200,1.0,
0,1.0,0.705,33,multitask,10,,0.011285714285714286
0,1.0,0.93,33,finetuning,1000,0.125,
0,1.0,0.755,5,finetuning,200,2.0,
0,1.0,0.5,24,finetuning,20,2.0,
0,1.0,0.78,20,finetuning,100,1.0,
0,1.0,0.51,40,finetuning,20,1.0,
0,1.0,0.73,13,multitask,50,,0.02522448979591837
0,1.0,0.825,40,finetuning,1000,2.0,
0,1.0,0.86,29,multitask,1000,,0.1526122448979592
0,1.0,0.965,26,finetuning,1000,1.0,
0,1.0,0.84,43,finetuning,10,0.125,
0,1.0,0.505,43,finetuning,50,2.0,
0,1.0,0.57,35,finetuning,50,0.25,
0,1.0,0.5,48,finetuning,10,1.0,
0,1.0,0.865,45,finetuning,50,0.125,
0,1.0,0.96,22,finetuning,500,0.5,
0,1.0,0.925,21,finetuning,1000,0.25,
0,1.0,0.625,27,multitask,20,,0.015224489795918367
0,1.0,0.56,27,finetuning,50,1.0,
0,1.0,0.5,3,finetuning,10,0.5,
0,1.0,0.54,39,finetuning,100,0.5,
0,1.0,0.48,28,finetuning,50,2.0,
0,1.0,0.865,47,finetuning,500,0.5,
0,1.0,0.99,0,finetuning,500,1.0,
0,0.998,0.88,14,finetuning,500,2.0,
0,1.0,0.89,31,finetuning,50,0.125,
0,1.0,0.585,47,finetuning,10,2.0,
0,1.0,0.735,7,finetuning,50,0.5,
0,1.0,0.55,23,finetuning,10,1.0,
0,1.0,0.87,17,multitask,1000,,0.10212244897959184
0,1.0,0.5,37,finetuning,10,0.125,
0,1.0,0.585,9,multitask,10,,0.01183673469387755
0,1.0,0.87,33,finetuning,200,0.5,
0,1.0,0.87,23,finetuning,100,0.25,
0,1.0,0.53,39,finetuning,100,0.25,
0,1.0,0.5,24,finetuning,10,1.0,
0,1.0,0.51,0,finetuning,50,0.5,
0,1.0,0.59,42,multitask,20,,0.014591836734693877
0,1.0,0.67,27,finetuning,100,0.125,
0,1.0,0.875,25,finetuning,500,0.25,
0,1.0,0.735,9,multitask,200,,0.05810204081632653
0,1.0,0.5,40,finetuning,10,2.0,
0,1.0,0.81,19,finetuning,500,0.5,
0,1.0,0.505,47,singletask,100,,
0,1.0,0.78,24,finetuning,20,0.25,
0,1.0,0.705,34,finetuning,100,2.0,
0,1.0,0.5,4,finetuning,10,0.5,
0,1.0,0.69,20,finetuning,50,1.0,
0,1.0,0.79,42,finetuning,1000,0.125,
0,1.0,0.5,41,finetuning,20,0.25,
0,1.0,0.94,26,singletask,500,,
0,1.0,0.86,48,multitask,500,,0.11648979591836735
0,1.0,0.5,44,finetuning,50,2.0,
0,1.0,0.775,15,finetuning,10,0.25,
0,1.0,0.9,6,finetuning,1000,0.5,
0,1.0,0.51,47,finetuning,20,1.0,
0,1.0,0.51,40,finetuning,20,0.125,
0,1.0,0.5,23,finetuning,20,2.0,
0,1.0,0.76,19,multitask,500,,0.1086530612244898
0,1.0,0.915,8,finetuning,200,0.5,
0,1.0,0.955,1,finetuning,500,0.125,
0,1.0,0.92,10,finetuning,500,0.125,
0,1.0,0.51,34,finetuning,20,0.125,
0,1.0,0.67,48,finetuning,20,2.0,
0,1.0,0.88,17,finetuning,1000,0.5,
0,1.0,0.87,41,singletask,200,,
0,1.0,0.99,12,finetuning,1000,0.125,
0,1.0,0.5,29,singletask,10,,
0,1.0,0.49,40,singletask,10,,
0,1.0,0.5,33,singletask,20,,
0,1.0,0.82,32,multitask,200,,0.07340816326530612
0,1.0,0.885,21,finetuning,200,0.25,
0,1.0,0.855,35,finetuning,1000,2.0,
0,1.0,0.885,49,finetuning,1000,1.0,
0,1.0,0.84,0,multitask,100,,0.051979591836734694
0,1.0,0.63,6,multitask,20,,0.013183673469387754
0,1.0,0.725,6,finetuning,20,1.0,
0,1.0,0.685,5,finetuning,10,0.25,
0,1.0,0.505,9,finetuning,20,2.0,
0,1.0,0.515,42,singletask,50,,
0,1.0,0.955,30,finetuning,100,1.0,
0,1.0,0.895,31,finetuning,100,0.125,
0,1.0,0.615,26,finetuning,20,0.5,
0,1.0,0.92,43,finetuning,1000,0.25,
0,1.0,0.955,41,finetuning,1000,2.0,
0,1.0,0.9,9,finetuning,500,0.5,
0,1.0,0.765,27,finetuning,1000,1.0,
0,1.0,0.525,28,multitask,10,,0.013428571428571429
0,1.0,0.855,21,multitask,500,,0.06877551020408164
0,1.0,0.51,1,finetuning,10,2.0,
0,1.0,0.435,42,finetuning,10,0.125,
0,1.0,0.91,18,finetuning,200,0.5,
0,1.0,0.785,25,finetuning,50,0.25,
0,1.0,0.88,32,finetuning,500,0.5,
0,1.0,0.5,44,finetuning,50,0.125,
0,1.0,0.68,28,singletask,200,,
0,1.0,0.505,41,finetuning,50,0.5,
0,1.0,0.695,29,finetuning,100,0.5,
0,1.0,0.85,28,finetuning,200,0.125,
0,1.0,0.965,30,finetuning,50,0.125,
0,1.0,0.88,48,finetuning,500,0.125,
0,1.0,0.5,5,finetuning,50,2.0,
0,1.0,0.66,45,finetuning,10,0.5,
0,1.0,0.515,40,finetuning,50,0.25,
0,1.0,0.56,36,finetuning,10,0.125,
0,1.0,0.84,0,finetuning,10,1.0,
0,1.0,0.815,20,finetuning,100,0.25,
0,1.0,0.835,24,singletask,1000,,
0,1.0,0.685,42,multitask,100,,0.049448979591836736
0,1.0,0.89,38,finetuning,1000,0.25,
0,1.0,0.675,24,finetuning,50,0.5,
0,1.0,0.5,40,finetuning,10,0.25,
0,1.0,0.91,29,finetuning,500,0.5,
0,1.0,0.97,26,finetuning,500,0.25,
0,1.0,0.985,14,finetuning,20,0.25,
0,1.0,0.81,31,multitask,500,,0.08612244897959184
0,1.0,0.935,49,finetuning,1000,0.125,
0,1.0,0.845,48,finetuning,500,0.25,
0,1.0,0.705,32,finetuning,100,0.5,
0,1.0,0.5,20,finetuning,10,0.5,
0,1.0,0.835,4,finetuning,50,1.0,
0,1.0,0.625,44,multitask,20,,0.013795918367346938
0,1.0,0.72,29,singletask,200,,
0,1.0,0.71,35,finetuning,200,2.0,
0,1.0,0.76,25,finetuning,10,0.25,
