,Unnamed: 0,value,variable,layer,rs,n_samples,scaling
0,0,3.295665502713221,ENSD,0,5,500,0.125
1,1,3.326933243648574,PR Pre,0,5,500,0.125
2,2,3.2997821448032445,PR Post,0,5,500,0.125
3,3,0.3002021312713623,Overlap,0,5,500,0.125
4,4,2.9500829582098427,ENSD,1,5,500,0.125
5,5,3.057063416530962,PR Pre,1,5,500,0.125
6,6,2.926645866237411,PR Post,1,5,500,0.125
7,7,0.3297308683395386,Overlap,1,5,500,0.125
8,8,2.975252611005049,ENSD,2,5,500,0.125
9,9,3.37077307594943,PR Pre,2,5,500,0.125
10,10,2.897038184826999,PR Post,2,5,500,0.125
11,11,0.3046773076057434,Overlap,2,5,500,0.125
12,12,2.0622838748633616,ENSD,3,5,500,0.125
13,13,3.285194248781188,PR Pre,3,5,500,0.125
14,14,2.5066370043555937,PR Post,3,5,500,0.125
15,15,0.2504355311393738,Overlap,3,5,500,0.125
16,16,2.6020827750530016,ENSD,4,5,500,0.125
17,17,6.759816656889227,PR Pre,4,5,500,0.125
18,18,2.070730139366132,PR Post,4,5,500,0.125
19,19,0.1858928501605987,Overlap,4,5,500,0.125
20,20,2.6020827750530016,ENSD,5,5,500,0.125
21,21,6.759816656889227,PR Pre,5,5,500,0.125
22,22,2.070730139366132,PR Post,5,5,500,0.125
23,23,0.1858928501605987,Overlap,5,5,500,0.125
24,24,0.0686998298574584,ENSD,6,5,500,0.125
25,25,19.029062124644263,PR Pre,6,5,500,0.125
26,26,1.004729843190604,PR Post,6,5,500,0.125
27,27,0.0035932627506554,Overlap,6,5,500,0.125
0,0,2.817737334222908,ENSD,0,20,10,0.25
1,1,2.815203885290434,PR Pre,0,20,10,0.25
2,2,2.8307584841958606,PR Post,0,20,10,0.25
3,3,0.353580117225647,Overlap,0,20,10,0.25
4,4,2.820496535186407,ENSD,1,20,10,0.25
5,5,2.829623249333155,PR Pre,1,20,10,0.25
6,6,2.830944966949392,PR Post,1,20,10,0.25
7,7,0.352099597454071,Overlap,1,20,10,0.25
8,8,3.293313252040985,ENSD,2,20,10,0.25
9,9,3.354491466220192,PR Pre,2,20,10,0.25
10,10,3.292545053337091,PR Post,2,20,10,0.25
11,11,0.2981773316860199,Overlap,2,20,10,0.25
12,12,3.240262274512488,ENSD,3,20,10,0.25
13,13,3.397396287799521,PR Pre,3,20,10,0.25
14,14,3.256662124441442,PR Post,3,20,10,0.25
15,15,0.2928608059883117,Overlap,3,20,10,0.25
16,16,6.613237774006468,ENSD,4,20,10,0.25
17,17,6.901494526582441,PR Pre,4,20,10,0.25
18,18,6.692490750673623,PR Post,4,20,10,0.25
19,19,0.1431802809238433,Overlap,4,20,10,0.25
20,20,6.613237774006468,ENSD,5,20,10,0.25
21,21,6.901494526582441,PR Pre,5,20,10,0.25
22,22,6.692490750673623,PR Post,5,20,10,0.25
23,23,0.1431802809238433,Overlap,5,20,10,0.25
24,24,2.658200048820061,ENSD,6,20,10,0.25
25,25,20.36253917697505,PR Pre,6,20,10,0.25
26,26,4.176368497304316,PR Post,6,20,10,0.25
27,27,0.0312576927244663,Overlap,6,20,10,0.25
0,0,2.95222165884327,ENSD,0,17,20,0.25
1,1,2.9548302672028983,PR Pre,0,17,20,0.25
2,2,2.957045304509554,PR Post,0,17,20,0.25
3,3,0.3378768563270569,Overlap,0,17,20,0.25
4,4,3.053664361255432,ENSD,1,17,20,0.25
5,5,3.0544222510986048,PR Pre,1,17,20,0.25
6,6,3.066255644638363,PR Post,1,17,20,0.25
7,7,0.3260497450828552,Overlap,1,17,20,0.25
8,8,3.5421135177376057,ENSD,2,17,20,0.25
9,9,3.569360317891728,PR Pre,2,17,20,0.25
10,10,3.555110280741391,PR Post,2,17,20,0.25
11,11,0.2791380286216736,Overlap,2,17,20,0.25
12,12,3.1233719598035665,ENSD,3,17,20,0.25
13,13,3.228314437280019,PR Pre,3,17,20,0.25
14,14,3.177397039170395,PR Post,3,17,20,0.25
15,15,0.3044923543930053,Overlap,3,17,20,0.25
16,16,6.486030346317579,ENSD,4,17,20,0.25
17,17,6.923253747064325,PR Pre,4,17,20,0.25
18,18,6.55369600140627,PR Post,4,17,20,0.25
19,19,0.1429494321346283,Overlap,4,17,20,0.25
20,20,6.486030346317579,ENSD,5,17,20,0.25
21,21,6.923253747064325,PR Pre,5,17,20,0.25
22,22,6.55369600140627,PR Post,5,17,20,0.25
23,23,0.1429494321346283,Overlap,5,17,20,0.25
24,24,2.03162803340944,ENSD,6,17,20,0.25
25,25,20.46881528864688,PR Pre,6,17,20,0.25
26,26,3.877628277362068,PR Post,6,17,20,0.25
27,27,0.0255967788398265,Overlap,6,17,20,0.25
0,0,2.95721808285782,ENSD,0,19,20,0.5
1,1,2.961271856683136,PR Pre,0,19,20,0.5
2,2,2.956338050133416,PR Post,0,19,20,0.5
3,3,0.3377932608127594,Overlap,0,19,20,0.5
4,4,3.063070174832086,ENSD,1,19,20,0.5
5,5,3.0711943363490217,PR Pre,1,19,20,0.5
6,6,3.0629347674676954,PR Post,1,19,20,0.5
7,7,0.3256206214427948,Overlap,1,19,20,0.5
8,8,3.5396564630898704,ENSD,2,19,20,0.5
9,9,3.569797776123558,PR Pre,2,19,20,0.5
10,10,3.537890441102432,PR Post,2,19,20,0.5
11,11,0.2802677452564239,Overlap,2,19,20,0.5
12,12,3.497109391873137,ENSD,3,19,20,0.5
13,13,3.580485675947489,PR Pre,3,19,20,0.5
14,14,3.5024979796750526,PR Post,3,19,20,0.5
15,15,0.2788620293140411,Overlap,3,19,20,0.5
16,16,6.863008655033718,ENSD,4,19,20,0.5
17,17,6.88283851315499,PR Pre,4,19,20,0.5
18,18,6.881647832998555,PR Post,4,19,20,0.5
19,19,0.1448953747749328,Overlap,4,19,20,0.5
20,20,6.863008655033718,ENSD,5,19,20,0.5
21,21,6.88283851315499,PR Pre,5,19,20,0.5
22,22,6.881647832998555,PR Post,5,19,20,0.5
23,23,0.1448953747749328,Overlap,5,19,20,0.5
24,24,20.499144844749267,ENSD,6,19,20,0.5
25,25,22.34973007356786,PR Pre,6,19,20,0.5
26,26,21.88412373426829,PR Post,6,19,20,0.5
27,27,0.0419116057455539,Overlap,6,19,20,0.5
0,0,2.806155818152256,ENSD,0,29,1000,0.5
1,1,2.8020277490235634,PR Pre,0,29,1000,0.5
2,2,2.8144983129499983,PR Post,0,29,1000,0.5
3,3,0.3558265566825866,Overlap,0,29,1000,0.5
4,4,3.02231732954066,ENSD,1,29,1000,0.5
5,5,3.0358292726751923,PR Pre,1,29,1000,0.5
6,6,3.022931061230277,PR Post,1,29,1000,0.5
7,7,0.3293324112892151,Overlap,1,29,1000,0.5
8,8,3.5428935439285287,ENSD,2,29,1000,0.5
9,9,3.600248582837484,PR Pre,2,29,1000,0.5
10,10,3.5429809777082486,PR Post,2,29,1000,0.5
11,11,0.2777517437934875,Overlap,2,29,1000,0.5
12,12,3.278607527383043,ENSD,3,29,1000,0.5
13,13,3.378888632442794,PR Pre,3,29,1000,0.5
14,14,3.3565656355485274,PR Post,3,29,1000,0.5
15,15,0.2890815734863281,Overlap,3,29,1000,0.5
16,16,5.520238684140139,ENSD,4,29,1000,0.5
17,17,6.905647765047179,PR Pre,4,29,1000,0.5
18,18,5.504303452276201,PR Post,4,29,1000,0.5
19,19,0.145228236913681,Overlap,4,29,1000,0.5
20,20,5.520238684140139,ENSD,5,29,1000,0.5
21,21,6.905647765047179,PR Pre,5,29,1000,0.5
22,22,5.504303452276201,PR Post,5,29,1000,0.5
23,23,0.145228236913681,Overlap,5,29,1000,0.5
24,24,3.53359419465141,ENSD,6,29,1000,0.5
25,25,20.591320570037297,PR Pre,6,29,1000,0.5
26,26,2.942263233678756,PR Post,6,29,1000,0.5
27,27,0.0583244897425174,Overlap,6,29,1000,0.5
0,0,3.101674402030635,ENSD,0,27,200,2.0
1,1,3.1011077116903434,PR Pre,0,27,200,2.0
2,2,3.103735978149674,PR Post,0,27,200,2.0
3,3,0.3222512304782867,Overlap,0,27,200,2.0
4,4,3.0957576003502028,ENSD,1,27,200,2.0
5,5,3.097752907117908,PR Pre,1,27,200,2.0
6,6,3.0967164740003468,PR Post,1,27,200,2.0
7,7,0.3227146863937378,Overlap,1,27,200,2.0
8,8,3.6265633508905983,ENSD,2,27,200,2.0
9,9,3.6332034179001775,PR Pre,2,27,200,2.0
10,10,3.6299458782189062,PR Post,2,27,200,2.0
11,11,0.2749827206134796,Overlap,2,27,200,2.0
12,12,3.4802530035752843,ENSD,3,27,200,2.0
13,13,3.500280976498431,PR Pre,3,27,200,2.0
14,14,3.4813297734041706,PR Post,3,27,200,2.0
15,15,0.2856029868125915,Overlap,3,27,200,2.0
16,16,6.893570796390071,ENSD,4,27,200,2.0
17,17,6.894734495317645,PR Pre,4,27,200,2.0
18,18,6.906517656531859,PR Post,4,27,200,2.0
19,19,0.1447663307189941,Overlap,4,27,200,2.0
20,20,6.893570796390071,ENSD,5,27,200,2.0
21,21,6.894734495317645,PR Pre,5,27,200,2.0
22,22,6.906517656531859,PR Post,5,27,200,2.0
