,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.79,4,finetuning,100,0.5,
0,1.0,0.73,8,finetuning,20,0.5,
0,0.997,0.91,16,finetuning,1000,0.5,
0,1.0,0.965,22,finetuning,200,1.0,
0,1.0,0.91,3,finetuning,200,2.0,
0,1.0,0.755,8,finetuning,50,0.25,
0,0.999,0.935,22,singletask,1000,,
0,1.0,0.78,0,finetuning,20,0.125,
0,1.0,0.935,13,finetuning,100,1.0,
0,1.0,0.765,20,finetuning,20,1.0,
0,0.998,0.945,7,finetuning,1000,0.125,
0,1.0,0.775,4,finetuning,50,0.5,
0,1.0,0.835,23,finetuning,50,2.0,
0,0.996,0.945,35,singletask,1000,,
0,0.998,0.885,11,finetuning,500,0.5,
0,1.0,0.6,28,finetuning,10,1.0,
0,0.995,0.735,20,finetuning,1000,0.125,
0,1.0,0.595,27,finetuning,10,2.0,
0,1.0,0.79,24,finetuning,500,0.25,
0,1.0,0.72,46,multitask,50,,0.0949795918367347
0,1.0,0.72,0,finetuning,10,0.5,
0,1.0,0.75,27,finetuning,500,2.0,
0,1.0,0.92,6,finetuning,500,1.0,
0,1.0,0.855,22,finetuning,100,0.25,
0,1.0,0.87,3,finetuning,200,0.125,
0,0.998,0.935,22,finetuning,1000,0.25,
0,1.0,0.895,15,singletask,50,,
0,1.0,0.855,10,finetuning,200,0.5,
0,1.0,0.705,22,finetuning,10,0.5,
0,1.0,0.795,3,multitask,100,,0.10426530612244898
0,1.0,0.66,5,finetuning,10,2.0,
0,0.998,0.73,27,multitask,500,,0.2543469387755102
0,1.0,0.795,17,finetuning,100,2.0,
0,1.0,0.835,38,multitask,50,,0.1106326530612245
0,1.0,0.825,1,finetuning,50,2.0,
0,1.0,0.85,21,finetuning,100,0.5,
0,0.99,0.84,11,finetuning,200,0.125,
0,1.0,0.84,26,finetuning,50,0.5,
0,1.0,0.71,37,singletask,100,,
0,1.0,0.73,4,finetuning,50,0.125,
0,1.0,0.67,17,singletask,10,,
0,1.0,0.74,18,multitask,10,,0.03893877551020408
0,1.0,0.955,7,finetuning,200,1.0,
0,1.0,0.615,2,finetuning,10,0.125,
0,1.0,0.955,26,finetuning,200,2.0,
0,0.998,0.86,2,finetuning,500,2.0,
0,1.0,0.925,23,finetuning,500,1.0,
0,1.0,0.79,34,multitask,200,,0.12953061224489795
0,1.0,0.695,35,singletask,20,,
0,1.0,0.89,31,singletask,200,,
0,0.999,0.935,1,finetuning,1000,2.0,
0,0.999,0.99,26,finetuning,1000,1.0,
0,1.0,0.795,25,multitask,1000,,0.32551020408163267
0,1.0,0.82,46,singletask,10,,
0,1.0,0.78,2,finetuning,20,1.0,
0,1.0,0.585,44,singletask,50,,
0,1.0,0.91,9,finetuning,1000,1.0,
0,1.0,0.61,45,multitask,10,,0.10820408163265306
0,1.0,0.625,9,finetuning,20,0.25,
0,1.0,0.7,20,finetuning,200,0.25,
0,0.996,0.91,18,finetuning,500,1.0,
0,0.998,0.975,14,singletask,500,,
0,1.0,0.73,9,singletask,100,,
0,0.997,0.91,17,finetuning,1000,0.5,
0,0.88,0.6,40,multitask,100,,0.0890204081632653
0,1.0,0.495,3,finetuning,10,0.25,
0,0.997,0.97,12,singletask,1000,,
0,0.996,0.89,1,finetuning,500,0.125,
0,1.0,0.67,20,multitask,10,,0.1076938775510204
0,0.998,0.88,18,finetuning,1000,0.125,
0,1.0,0.81,5,finetuning,20,1.0,
0,1.0,0.865,0,multitask,10,,0.07079591836734694
0,1.0,0.9,33,multitask,500,,0.24618367346938774
0,1.0,0.635,1,finetuning,20,0.125,
0,1.0,0.54,16,finetuning,50,0.25,
0,1.0,0.78,21,finetuning,50,0.5,
0,1.0,0.82,6,finetuning,50,2.0,
0,1.0,0.74,5,singletask,10,,
0,1.0,0.795,34,multitask,20,,0.12422448979591837
0,1.0,0.84,9,finetuning,50,1.0,
0,0.998,0.74,25,finetuning,500,0.25,
0,1.0,0.815,7,singletask,50,,
0,1.0,0.865,23,finetuning,100,0.25,
0,1.0,0.81,11,multitask,100,,0.11126530612244898
0,1.0,0.625,2,finetuning,10,2.0,
0,1.0,0.74,21,singletask,20,,
0,1.0,0.745,20,multitask,200,,0.13146938775510203
0,1.0,0.73,25,finetuning,10,0.5,
0,0.998,0.89,1,singletask,500,,
0,1.0,0.7,48,singletask,20,,
0,1.0,0.805,49,multitask,200,,0.1203469387755102
0,1.0,0.64,7,finetuning,10,0.5,
0,1.0,0.65,17,finetuning,20,0.25,
0,0.999,0.895,18,finetuning,1000,0.25,
0,1.0,0.59,20,finetuning,10,2.0,
0,1.0,0.64,39,singletask,50,,
0,0.995,0.98,30,multitask,1000,,0.3093061224489796
0,1.0,0.745,3,multitask,50,,0.11851020408163265
0,1.0,0.705,24,singletask,200,,
0,1.0,0.705,5,finetuning,50,0.125,
0,1.0,0.72,24,finetuning,50,2.0,
0,1.0,0.5,3,finetuning,10,0.125,
0,1.0,0.7,26,finetuning,10,0.25,
0,1.0,0.835,3,finetuning,50,0.5,
0,1.0,0.8,23,multitask,50,,0.08493877551020408
0,1.0,0.66,24,finetuning,100,0.125,
0,1.0,0.6,27,finetuning,20,1.0,
0,1.0,0.855,13,finetuning,500,0.125,
0,1.0,0.81,27,finetuning,1000,1.0,
0,1.0,0.825,22,singletask,100,,
0,0.998,0.975,0,finetuning,1000,2.0,
0,0.55,0.5,17,multitask,20,,0.008306122448979592
0,1.0,0.81,19,finetuning,200,1.0,
0,1.0,0.84,43,singletask,500,,
0,1.0,0.545,19,singletask,20,,
0,1.0,0.77,18,multitask,200,,0.12163265306122449
0,1.0,0.875,29,multitask,100,,0.1323265306122449
0,0.998,0.925,8,finetuning,1000,1.0,
0,1.0,0.865,28,finetuning,100,1.0,
0,1.0,0.8,9,finetuning,100,2.0,
0,1.0,0.725,28,finetuning,20,2.0,
0,0.995,0.825,21,finetuning,200,0.25,
0,1.0,0.665,42,singletask,500,,
0,1.0,0.89,26,finetuning,20,2.0,
0,1.0,0.855,9,finetuning,500,2.0,
0,1.0,1.0,14,finetuning,1000,0.5,
0,1.0,0.735,6,multitask,10,,0.061061224489795916
0,1.0,0.805,39,multitask,100,,0.11393877551020408
0,1.0,0.65,1,finetuning,20,0.5,
0,1.0,0.865,26,multitask,10,,0.09787755102040817
0,0.998,0.885,13,finetuning,1000,0.125,
0,1.0,0.865,11,finetuning,100,0.125,
0,1.0,0.835,23,singletask,100,,
0,1.0,0.635,2,finetuning,20,0.25,
0,1.0,0.65,2,finetuning,20,0.125,
0,1.0,0.79,29,singletask,50,,
0,0.998,0.945,31,multitask,1000,,0.31614285714285717
0,1.0,0.825,26,finetuning,50,0.25,
0,1.0,0.745,25,singletask,200,,
0,0.998,0.935,26,finetuning,500,0.125,
0,1.0,0.685,21,finetuning,10,1.0,
0,1.0,0.805,32,multitask,20,,0.07481632653061225
0,0.998,0.83,9,finetuning,500,0.25,
0,0.996,0.94,26,finetuning,500,0.25,
0,0.998,0.74,42,singletask,1000,,
0,1.0,0.915,0,singletask,500,,
0,1.0,0.64,9,finetuning,10,0.5,
0,1.0,0.725,25,finetuning,50,1.0,
0,1.0,0.735,20,finetuning,100,0.25,
0,1.0,0.7,25,multitask,50,,0.10951020408163266
0,1.0,0.595,42,singletask,10,,
0,1.0,0.8,5,multitask,50,,0.1223469387755102
0,1.0,0.78,31,singletask,20,,
0,1.0,0.92,30,multitask,200,,0.0953061224489796
0,1.0,0.965,7,finetuning,50,1.0,
0,1.0,0.565,27,finetuning,20,0.25,
0,1.0,0.72,8,finetuning,50,2.0,
0,1.0,0.685,6,finetuning,50,0.125,
0,1.0,0.565,3,finetuning,10,1.0,
0,1.0,0.645,40,singletask,50,,
