,Unnamed: 0,value,variable,layer,rs,n_samples,scaling
0,0,3.221586625890136,ENSD,0,6,1000,2.0
1,1,3.266295777762586,PR Pre,0,6,1000,2.0
2,2,3.229731786401915,PR Post,0,6,1000,2.0
3,3,0.3084076841672261,Overlap,0,6,1000,2.0
4,4,30.483114999769537,ENSD,1,6,1000,2.0
5,5,34.6876465054894,PR Pre,1,6,1000,2.0
6,6,31.2709718684166,PR Post,1,6,1000,2.0
7,7,0.0285714582229654,Overlap,1,6,1000,2.0
8,8,37.873005064638186,ENSD,2,6,1000,2.0
9,9,44.19001210927615,PR Pre,2,6,1000,2.0
10,10,39.5966982626504,PR Post,2,6,1000,2.0
11,11,0.0220534500355521,Overlap,2,6,1000,2.0
12,12,44.99893113074811,ENSD,3,6,1000,2.0
13,13,53.37734818987307,PR Pre,3,6,1000,2.0
14,14,46.73710031481311,PR Post,3,6,1000,2.0
15,15,0.0185597967356443,Overlap,3,6,1000,2.0
16,16,53.753192165032296,ENSD,4,6,1000,2.0
17,17,65.07775852793182,PR Pre,4,6,1000,2.0
18,18,55.771427269411085,PR Post,4,6,1000,2.0
19,19,0.0152423912659287,Overlap,4,6,1000,2.0
20,20,58.72528471745039,ENSD,5,6,1000,2.0
21,21,74.87576581767128,PR Pre,5,6,1000,2.0
22,22,62.53051233585118,PR Post,5,6,1000,2.0
23,23,0.0128995403647422,Overlap,5,6,1000,2.0
24,24,62.56401152356576,ENSD,6,6,1000,2.0
25,25,85.5031919398209,PR Pre,6,6,1000,2.0
26,26,66.89581488463375,PR Post,6,6,1000,2.0
27,27,0.0112601259412864,Overlap,6,6,1000,2.0
28,28,52.40544168632557,ENSD,7,6,1000,2.0
29,29,87.55996105640706,PR Pre,7,6,1000,2.0
30,30,56.906422498445465,PR Post,7,6,1000,2.0
31,31,0.0108695947565138,Overlap,7,6,1000,2.0
0,0,3.0717780108204797,ENSD,0,2,1000,0.5
1,1,2.766352964669329,PR Pre,0,2,1000,0.5
2,2,4.515136353907309,PR Post,0,2,1000,0.5
3,3,0.250789242486159,Overlap,0,2,1000,0.5
4,4,2.2234588685326413,ENSD,1,2,1000,0.5
5,5,3.650818451333521,PR Pre,1,2,1000,0.5
6,6,7.012354738150896,PR Post,1,2,1000,0.5
7,7,0.0876347484687964,Overlap,1,2,1000,0.5
8,8,0.5647213591236022,ENSD,2,2,1000,0.5
9,9,2.6426049667969336,PR Pre,2,2,1000,0.5
10,10,6.821681980496005,PR Post,2,2,1000,0.5
11,11,0.0312085961923003,Overlap,2,2,1000,0.5
12,12,0.4703634448908876,ENSD,3,2,1000,0.5
13,13,2.5800926595623026,PR Pre,3,2,1000,0.5
14,14,6.717572050468811,PR Post,3,2,1000,0.5
15,15,0.0270227985456585,Overlap,3,2,1000,0.5
16,16,0.4249058808087025,ENSD,4,2,1000,0.5
17,17,2.6211643912925893,PR Pre,4,2,1000,0.5
18,18,6.601734330585448,PR Post,4,2,1000,0.5
19,19,0.0244436829040447,Overlap,4,2,1000,0.5
20,20,0.4518542689834155,ENSD,5,2,1000,0.5
21,21,2.6809869074101464,PR Pre,5,2,1000,0.5
22,22,6.844576360891186,PR Post,5,2,1000,0.5
23,23,0.0245095919817686,Overlap,5,2,1000,0.5
24,24,0.4435970479162932,ENSD,6,2,1000,0.5
25,25,2.665663104657679,PR Pre,6,2,1000,0.5
26,26,6.911056873357879,PR Post,6,2,1000,0.5
27,27,0.0239649089053273,Overlap,6,2,1000,0.5
28,28,0.4496024658930334,ENSD,7,2,1000,0.5
29,29,2.6825571506030594,PR Pre,7,2,1000,0.5
